X,Y,DIRECCION,LOCALIZACION
-75.56473510950391,6.24911309506345,Cr 46 Cl 52,Avenida Oriental - SOMA
-75.5699508408267,6.2312342481445,Cr 43A Cl 31,Avenida El Poblado - Ford
-75.57047286612091,6.210626234895741,Cr 43A Cl 10,Avenida El Poblado - Parque El Poblado
-75.576223691331,6.21327551240489,Cr 48 Cl 10,Monterrey
-75.5827779519471,6.231807828412809,Cr 65 Cl 30,Calle 30 - Estación Metroplús
-75.58373973475649,6.24546184179348,Cr 65 Cl 41 ,Avenida Bolivariana
-75.58328539581801,6.248592826119999,Cr 65 Cl 44,San Juan - MAKRO
-75.58104009853929,6.25610041785392,Cr 65 Cl 50,Colombia
-75.58874046906321,6.24923614643863,Cr 70 Cl 44,San Juan - Éxito La 70
-75.6021668523532,6.23199186510892,Av 80 Cl 30A,Asados La 80
-75.6030310563791,6.23881281172792,Av 80 Cl 33,Glorieta Santa Gema
-75.60280082652899,6.24319601307843,Av 80 Cl 35,Glorieta Don Quijote
-75.5977740081972,6.2587417288693095,Av 80 Cl 48,Estación Floresta
-75.5750227147787,6.20129138615196,Cr 43C Cl 4 Sur ,Calle 4 Sur - Puente de la 4 Sur
-75.5726027690502,6.201055717599701,Cr 43A Cl 4 Sur ,Avenida El Poblado - Banco Caja Social
-75.5761033234359,6.20035035430246,Cr 43C Cl 6 Sur ,Calle 6 Sur - Carulla Oviedo
-75.56959897168001,6.24112087266412,Cr 46 Cl 41 ,Avenida Oriental - U.R. Torres de San Sebastián
-75.56234177581679,6.2534164978542695,Cr 46 Cl 57,Avenida Oriental - Edificio Los Espejos
-75.5734660003932,6.27637830971866,Cr 65 Cl 80,Cementerio Universal
-75.5930784202553,6.27339749755113,Av 80 Cl 65,Éxito de Robledo
-75.5977143637906,6.21619923434339,Cr 75B Cl 5,Éxito Gran Vía
-75.5734963867782,6.204175753883411,Cr 43C Cl 1A Sur,Puente 4 sur
