X;Y;Lugar turistico;;;;
-75.5622722;6.2783722;Fundacion Casa Museo Maestro Pedro Nel Gomez;;;;
-75.56825;6.252225;Plaza Botero;;;;
-75.5680056;6.2512694;Palacio de la Cultura Rafael Uribe Uribe;;;;
-75.5759;6.2438389;Plaza Mayor;;;;
-75.5734833;6.2443694;Centro Administrativo José María Córdova La Alpujarra;;;;
-75.5674944;6.2499972;Basílica Nuestra Señora de la Candelaria;;;;
-75.5689417;6.2522861;Museo De Antioquia;;;;
-75.5689417;6.2522861;Hotel Nutibara;;;;
-75.5639667;6.2540028;Catedral Basílica Metropolitana de Medellín;;;;
-75.5772056;6.24465;Parque de los Pies Descalzos;;;;
-75.5719472;6.2447639;Edificio Estación Medellín Antigua estación del Ferrocarril de Antioquia;;;;
-75.5566556;6.2459278;Museo casa de la memoria;;;;
-75.565725;6.2699722;Parque Explora;;;;
-75.5741667;6.2235056;Museo Arte Moderno Medellín;;;;
-75.5694583;6.1901028;Museo el Castillo;;;;
-75.5646583;6.2696083;Jardín Botánico Joaquín Antonio Uribe;;;;
-75.5661222;6.2691083;Planetario de Medellín Jesús Emilio Ramírez;;;;
-75.5660861;6.2684361;Parque de Los Deseos;;;;
-75.570475;6.2099333;Iglesia San José (Poblado);;;;
-75.5619417;6.2657722;Museo Cementerio San Pedro;;;;
-75.6215333;6.2487861;Escaleras Electricas Comuna 13;;;;
-75.5867778;6.2194917;Aeropuerto Olaya Herrera;;;;
-75.5910417;6.2568556;Unidad Deportiva Atanasio Girardot;;;;
-75.5802917;6.2361861;Pueblito Paisa;;;;
-75.5982389;6.223825;Parque Biblioteca de Belén;;;;
-75.6168861;6.2458944;Santuario de la Madre Laura;;;;
-75.4982472;6.210175;Santa Elena;;;;
-75.5649889;6.2119444;Parque Regional Ecoturístico Arví;;;;
